district,price,lon,lat,floor_area,number_floors,room_number,number_bathroom,school_district,rate,distance_metro,distance_hospital,distance_sea
440305,147708,113.956764,22.55103,28.57,7,1,1,1,6.93,1075.553828,4212.936931,1912.618187
440304,145642,114.09076,22.55095,92.35,30,3,1,1,26.89,32.45015741,228.1749801,6014.854067
440306,146882,113.89541,22.55074,111.11,28,4,2,1,8.58,599.6421885,627.5738353,6481.552315
440306,123444,113.89542,22.55075,95.59,28,4,1,1,8.58,599.6421885,627.5738353,6481.552315
440306,134937,113.89543,22.55076,81.52,28,3,1,1,8.58,599.6421885,627.5738353,6481.552315
440305,103986,113.94678,22.55073,91.84,7,3,1,1,21.86,855.9546516,3300.836458,2919.019493
440305,105619,113.94679,22.55074,91.84,7,3,1,1,21.86,855.9546516,3300.836458,2919.019493
440306,81507,113.9008,22.55071,122.69,14,4,2,1,8.58,1154.05846,1094.526354,6990.469211
440306,91010,113.90081,22.55072,81.31,15,2,1,1,8.58,1154.05846,1094.526354,6990.469211
440306,98992,113.90082,22.55073,81.32,15,3,1,1,8.58,1154.05846,1094.526354,6990.469211
440306,103898,113.90083,22.55074,81.33,15,2,1,1,8.58,1154.05846,1094.526354,6990.469211
440305,84993,113.9241,22.55053,59.77,9,2,1,0,0,1734.280256,1831.297893,5241.075717
440305,87747,113.9242,22.55054,39.09,11,1,1,0,0,1734.280256,1831.297893,5241.075717
440305,107766,113.9243,22.55055,55.03,11,3,1,0,0,1734.280256,1831.297893,5241.075717
440304,70839,114.04697,22.55054,127.05,14,4,2,1,6.8,266.630729,195.9056837,5384.826232
440306,66476,113.90595,22.55021,198.27,31,5,2,1,8.58,1686.968257,1302.820279,7101.114489
440306,88740,113.90596,22.55022,152.92,30,4,2,1,8.58,1686.968257,1302.820279,7101.114489
440306,93224,113.90597,22.55023,123.36,17,4,2,1,8.58,1686.968257,1302.820279,7101.114489
440306,68966,113.90598,22.55024,117.16,14,3,2,1,8.58,1686.968257,1302.820279,7101.114489
440303,52430,114.13502,22.55009,88.5,29,2,1,0,0,439.3793203,1674.808819,3349.711772
440303,53759,114.13503,22.55008,100.45,29,3,2,0,0,439.3793203,1674.808819,3349.711772
440303,54754,114.13504,22.55007,100.45,28,3,2,0,0,439.3793203,1674.808819,3349.711772
440303,60679,114.13505,22.55006,100.2,29,3,2,0,0,439.3793203,1674.808819,3349.711772
440305,97172,113.95132,22.54985,115.26,13,3,2,1,21.86,766.2383367,3656.831141,2440.574208
440305,103658,113.95133,22.54984,82.29,13,3,1,1,21.86,766.2383367,3656.831141,2440.574208
440305,108436,113.95134,22.54983,112.97,12,3,1,1,21.86,766.2383367,3656.831141,2440.574208
440305,113596,113.95135,22.54982,111.36,11,3,2,1,21.86,766.2383367,3656.831141,2440.574208
440305,121071,113.95136,22.54981,98.29,12,3,1,1,21.86,766.2383367,3656.831141,2440.574208
440305,124005,113.95137,22.54986,81.61,15,3,1,1,21.86,766.2383367,3656.831141,2440.574208
440303,71515,114.12631,22.54978,91.59,33,3,1,0,0,493.3969097,994.7652742,4174.362196
440303,80954,114.12632,22.54977,43.11,33,2,1,0,0,493.3969097,994.7652742,4174.362196
440303,81586,114.12633,22.54976,45.47,33,2,1,0,0,493.3969097,994.7652742,4174.362196
440305,68005,113.973408,22.54977,44.85,15,1,1,0,0,1175.561243,2985.171229,304.9192134
440305,82988,113.973409,22.54976,36.15,15,1,1,0,0,1175.561243,2985.171229,304.9192134
440304,88430,114.057743,22.54967,80.29,28,2,1,0,0,217.7015347,919.042773,6446.004961
440304,89364,114.057744,22.54966,110,30,3,2,0,0,217.7015347,919.042773,6446.004961
440304,92772,114.057745,22.54965,77.61,27,2,1,0,0,217.7015347,919.042773,6446.004961
440304,93391,114.057746,22.54964,107.72,23,3,2,0,0,217.7015347,919.042773,6446.004961
440304,109540,114.060571,22.54958,80.61,22,2,1,0,0,310.055076,1210.005959,6730.196495
440304,103365,114.060572,22.54957,119.77,28,3,2,0,0,310.055076,1210.005959,6730.196495
440304,96376,114.060573,22.54956,143.19,28,3,2,0,0,310.055076,1210.005959,6730.196495
440304,63004,114.091464,22.54942,28.57,30,1,1,1,8.67,179.3274096,224.4392363,6137.609427
440304,58276,114.091465,22.54943,29,30,1,1,1,8.67,179.3274096,224.4392363,6137.609427
440304,99761,114.100028,22.54916,79.19,7,2,1,1,10.08,217.4690843,985.7176579,5856.773453
440304,110117,114.100029,22.54915,72.65,6,2,1,1,10.08,217.4690843,985.7176579,5856.773453
440303,46456,114.13496,22.54895,104.4,33,3,1,1,10.14,408.7096059,1612.493836,3417.624975
440304,118467,114.09721,22.5489,124.93,5,4,2,1,10.08,331.3984421,695.6331558,5972.745648
440304,101553,114.057301,22.54885,79.86,28,2,1,0,0,219.0099299,883.3355466,6384.748147
440304,91631,114.057302,22.54886,151.15,22,3,2,0,0,219.0099299,883.3355466,6384.748147
440305,86045,113.92372,22.54872,83.91,11,3,1,0,0,1533.640089,1630.475886,5266.656156
440305,75625,113.92373,22.54871,74.05,7,2,1,0,0,1533.640089,1630.475886,5266.656156
440305,83383,113.92374,22.54873,83.95,7,3,1,0,0,1533.640089,1630.475886,5266.656156
440305,93003,113.92375,22.54874,56.45,7,2,1,0,0,1533.640089,1630.475886,5266.656156
440305,65142,113.92376,22.54875,129.41,16,4,2,0,0,1533.640089,1630.475886,5266.656156
440305,71727,113.92377,22.54876,119.9,10,3,2,0,0,1533.640089,1630.475886,5266.656156
440305,75768,113.92378,22.54877,44.61,16,1,1,0,0,1533.640089,1630.475886,5266.656156
440305,80996,113.92379,22.54878,88.4,16,2,1,0,0,1533.640089,1630.475886,5266.656156
440304,88301,114.06942,22.54873,40.77,7,2,1,1,8.67,731.8801899,957.4979041,7425.495924
440304,88814,114.06943,22.54874,85.01,8,3,1,1,8.67,731.8801899,957.4979041,7425.495924
440304,75762,114.04824,22.54866,73.52,7,2,1,1,6.8,393.3700733,173.492428,5465.479647
440305,72240,113.9308,22.54852,44.99,7,2,1,0,0,1153.528776,1922.253542,4531.749913
440305,73154,113.9309,22.54851,41.42,7,2,1,0,0,1153.528776,1922.253542,4531.749913
440304,73077,114.08831,22.54823,208,30,4,2,1,26.89,183.1846518,247.2843705,6396.232677
440304,116058,114.08832,22.54824,105.12,30,3,2,1,26.89,183.1846518,247.2843705,6396.232677
440304,121846,114.08833,22.54825,114.9,30,3,1,1,26.89,183.1846518,247.2843705,6396.232677
440304,131681,114.08834,22.54826,38.73,37,1,1,1,26.89,183.1846518,247.2843705,6396.232677
440304,92177,114.04663,22.54807,40.9,20,1,1,1,6.8,274.6592511,320.8147973,5290.137526
440304,92910,114.04664,22.54806,40.9,20,1,1,1,6.8,274.6592511,320.8147973,5290.137526
440304,105135,114.04665,22.54805,40.9,20,1,1,1,6.8,274.6592511,320.8147973,5290.137526
440306,112848,113.8977,22.54802,142.67,24,4,2,1,8.58,907.9155391,719.4223038,6842.542456
440306,117458,113.8978,22.54803,124.3,32,3,2,1,8.58,907.9155391,719.4223038,6842.542456
440306,127500,113.8979,22.54804,80,32,2,1,1,8.58,907.9155391,719.4223038,6842.542456
440304,81197,114.0699,22.54799,105.3,8,3,1,1,8.67,778.257449,861.4821742,7458.178858
440304,95071,114.091275,22.54787,56.8,31,1,1,1,8.67,346.4352539,77.79587116,6301.608597
440304,107652,114.091276,22.54786,56.85,31,1,1,1,8.67,346.4352539,77.79587116,6301.608597
440304,110291,114.091277,22.54785,56.85,31,1,1,1,8.67,346.4352539,77.79587116,6301.608597
440304,113573,114.091278,22.54784,35.66,31,1,1,1,8.67,346.4352539,77.79587116,6301.608597
440304,144436,114.091279,22.54783,35.31,31,1,1,1,8.67,346.4352539,77.79587116,6301.608597
440305,76837,113.9275,22.54742,53.36,12,2,1,0,0,1342.16613,1642.465783,4859.285698
440305,78868,113.9276,22.54743,53,12,1,1,0,0,1342.16613,1642.465783,4859.285698
440305,79884,113.9277,22.54744,82.62,11,3,1,0,0,1342.16613,1642.465783,4859.285698
440305,73878,113.92774,22.54745,56.58,12,2,1,0,0,1342.16613,1642.465783,4859.285698
440305,88193,113.9278,22.54746,54.88,11,1,1,0,0,1342.16613,1642.465783,4859.285698
440305,89895,113.9279,22.54747,69.41,11,2,1,0,0,1342.16613,1642.465783,4859.285698
440304,56638,114.06607,22.54705,113,31,4,2,0,0,451.0547088,1059.270652,7247.869649
440304,58970,114.06608,22.54706,84.79,31,2,1,0,0,451.0547088,1059.270652,7247.869649
440304,67302,114.06609,22.54707,83.95,31,2,1,0,0,451.0547088,1059.270652,7247.869649
440304,139734,114.09135,22.54664,75,7,3,1,1,26.89,401.8368053,127.5264802,6424.050538
440305,81815,113.951257,22.546617,80.67,34,2,1,1,6.93,435.7940256,3494.809671,2437.772839
440304,130982,114.019131,22.54645,180.56,31,4,3,1,13.96,692.2499434,2412.778888,2511.917636
